condition,replicate,generation,shannon_diversity,richness,dominant_fraction,top3_fraction,vacancies
KtW_ON,0,190,2.0308797849797724,9,0.16489795918367348,0.47183673469387755,574
KtW_ON,0,191,2.031546897828114,9,0.16591836734693877,0.4626530612244898,614
KtW_ON,0,192,2.030465809579462,9,0.16285714285714287,0.46285714285714286,607
KtW_ON,0,193,2.026666748195685,9,0.16408163265306122,0.4669387755102041,600
KtW_ON,0,194,2.0246916417677485,9,0.16244897959183674,0.46979591836734697,587
KtW_ON,0,195,2.0256097503834227,9,0.16183673469387755,0.4669387755102041,602
KtW_ON,0,196,2.0263428874774676,9,0.16285714285714287,0.46755102040816326,606
KtW_ON,0,197,2.022773158203859,9,0.16591836734693877,0.4679591836734694,609
KtW_ON,0,198,2.0214556665414065,9,0.16510204081632654,0.46877551020408165,610
KtW_ON,0,199,2.0217839742395696,9,0.1653061224489796,0.46510204081632656,625
KtW_ON,0,200,2.0205261778320227,9,0.16408163265306122,0.46775510204081633,628
KtW_ON,0,201,2.0222438266214047,9,0.16408163265306122,0.46714285714285714,631
KtW_ON,0,202,2.0186155338667064,9,0.1653061224489796,0.4683673469387755,632
KtW_ON,0,203,2.0195241692575734,9,0.1636734693877551,0.46591836734693876,645
KtW_ON,0,204,2.019167073851938,9,0.16448979591836735,0.4669387755102041,629
KtW_ON,0,205,2.0203752032876534,9,0.16653061224489796,0.4673469387755102,628
KtW_ON,0,206,2.019398869820201,9,0.16612244897959183,0.47081632653061223,622
KtW_ON,0,207,2.020344769957293,9,0.1646938775510204,0.46714285714285714,628
KtW_ON,0,208,2.018482444884013,9,0.16755102040816328,0.4685714285714286,607
KtW_ON,0,209,2.0192509953456343,9,0.16693877551020408,0.47081632653061223,592
KtW_ON,0,210,2.018918848423024,9,0.16591836734693877,0.4720408163265306,606
KtW_ON,0,211,2.0125689839978693,9,0.16428571428571428,0.4744897959183674,613
KtW_ON,0,212,2.010800751391022,9,0.16346938775510203,0.4763265306122449,588
KtW_ON,0,213,2.007576598951465,8,0.16591836734693877,0.47653061224489796,593
KtW_ON,0,214,2.0091927664318074,8,0.16693877551020408,0.4742857142857143,580
KtW_ON,0,215,2.0064211995625785,8,0.16693877551020408,0.47591836734693876,582
KtW_ON,0,216,2.0047174635256475,8,0.16816326530612244,0.47653061224489796,574
KtW_ON,0,217,2.00292910187646,8,0.16857142857142857,0.47489795918367345,584
KtW_ON,0,218,2.0037778496502474,8,0.16775510204081634,0.47346938775510206,584
KtW_ON,0,219,2.0021475210397317,8,0.1689795918367347,0.4751020408163265,586
KtW_ON,0,220,2.0032228251523434,8,0.17142857142857143,0.47612244897959183,584
KtW_ON,0,221,2.0042120546367452,8,0.16938775510204082,0.4746938775510204,578
KtW_ON,0,222,2.001499724057245,8,0.16877551020408163,0.4763265306122449,585
KtW_ON,0,223,2.0031300790255315,8,0.1683673469387755,0.4736734693877551,599
KtW_ON,0,224,1.998297967657494,8,0.16979591836734695,0.476734693877551,596
KtW_ON,0,225,1.999954539144928,8,0.1673469387755102,0.4714285714285714,622
KtW_ON,0,226,1.9995356493628575,8,0.1663265306122449,0.47122448979591836,604
KtW_ON,0,227,1.9980699342906585,8,0.16775510204081634,0.47020408163265304,601
KtW_ON,0,228,1.9968075419291127,8,0.16795918367346938,0.473265306122449,598
KtW_ON,0,229,1.9930931585695473,8,0.16857142857142857,0.4714285714285714,629
KtW_ON,0,230,1.993961553958129,8,0.1683673469387755,0.47285714285714286,610
